mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013138103485107421,0.0006176887405597056,0.0074119091033935545,0.0035762206689579014,1,0.01,linear,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012718105316162109,0.0002843893589470193,0.0054724693298339845,4.003654948567834e-05,1,0.02,linear,"{'C': 1, 'gamma': 0.02, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.01280069351196289,0.0003367028514310112,0.005575704574584961,9.293914629472564e-05,1,0.03,linear,"{'C': 1, 'gamma': 0.03, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012865114212036132,0.0002855663604608407,0.005653905868530274,4.777979707470199e-05,1,0.04,linear,"{'C': 1, 'gamma': 0.04, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012846851348876953,0.0002914333607210418,0.005647993087768555,3.9992284416569214e-05,1,0.05,linear,"{'C': 1, 'gamma': 0.05, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.01284794807434082,0.00027298064822102756,0.005653095245361328,3.2949896173143045e-05,1,0.06,linear,"{'C': 1, 'gamma': 0.06, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012856864929199218,0.0002693017206546811,0.005670166015625,4.0284867053635055e-05,1,0.07,linear,"{'C': 1, 'gamma': 0.07, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012862491607666015,0.00028426971828024607,0.00565943717956543,5.704786178091687e-05,1,0.08,linear,"{'C': 1, 'gamma': 0.08, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.012844133377075195,0.0002810185653117786,0.0056800365447998045,5.3269006840220564e-05,1,0.09,linear,"{'C': 1, 'gamma': 0.09, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
0.013352775573730468,0.0008990851879581545,0.005774354934692383,0.0005439624376775135,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8714285714285714,0.9428571428571428,0.9571428571428572,0.9285714285714286,0.927536231884058,0.9255072463768116,0.029119889612726182,201
